product_id,category_id,brand_id,supplier_id,product_name,sku,barcode,description,unit_price,cost_price,is_active,created_at,updated_at
1,1,1,20,Samsung 55-Inch Smart Television,RN-ELEC-SAMS-000001,8900000000012,Samsung 55-Inch Smart Television supplied through RetailNova's Electronics product portfolio.,39885.45,34500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
2,1,3,6,Sony Wireless Noise-Cancelling Headphones,RN-ELEC-SONY-000002,8900000000029,Sony Wireless Noise-Cancelling Headphones supplied through RetailNova's Electronics product portfolio.,13121.92,11200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
3,1,4,15,LG Ultra-HD Smart Monitor,RN-ELEC-LG-000003,8900000000036,LG Ultra-HD Smart Monitor supplied through RetailNova's Electronics product portfolio.,27848.38,23800.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
4,2,18,5,Puma Everyday Running Shoes,RN-FASH-PUMA-000004,8900000000043,Puma Everyday Running Shoes supplied through RetailNova's Fashion product portfolio.,2889.39,2100.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
5,2,19,10,Adidas Performance Track Jacket,RN-FASH-ADID-000005,8900000000050,Adidas Performance Track Jacket supplied through RetailNova's Fashion product portfolio.,2631.12,1900.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
6,2,20,14,Nike Lightweight Training Shoes,RN-FASH-NIKE-000006,8900000000067,Nike Lightweight Training Shoes supplied through RetailNova's Fashion product portfolio.,3467.10,2600.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
7,2,21,16,Levi's Classic Straight-Fit Jeans,RN-FASH-LEVI-000007,8900000000074,Levi's Classic Straight-Fit Jeans supplied through RetailNova's Fashion product portfolio.,2643.90,1750.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
8,3,27,19,Prestige Stainless Steel Pressure Cooker,RN-HOME-PRES-000008,8900000000081,Prestige Stainless Steel Pressure Cooker supplied through RetailNova's Home & Kitchen product portfolio.,2222.39,1650.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
9,3,28,7,Pigeon Multi-Purpose Mixer Grinder,RN-HOME-PIGE-000009,8900000000098,Pigeon Multi-Purpose Mixer Grinder supplied through RetailNova's Home & Kitchen product portfolio.,2673.22,2200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
10,3,29,13,Milton Insulated Water Bottle Set,RN-HOME-MILT-000010,8900000000104,Milton Insulated Water Bottle Set supplied through RetailNova's Home & Kitchen product portfolio.,827.45,650.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
11,3,14,18,Philips Digital Air Fryer,RN-HOME-PHIL-000011,8900000000111,Philips Digital Air Fryer supplied through RetailNova's Home & Kitchen product portfolio.,7694.82,6200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
12,4,23,11,Lakmé Matte Finish Lip Colour,RN-BEAU-LAKM-000012,8900000000128,Lakmé Matte Finish Lip Colour supplied through RetailNova's Beauty & Personal Care product portfolio.,417.22,320.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
13,4,24,2,Mamaearth Natural Face Wash,RN-BEAU-MAMA-000013,8900000000135,Mamaearth Natural Face Wash supplied through RetailNova's Beauty & Personal Care product portfolio.,374.63,260.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
14,4,25,12,L'Oréal Paris Repair Hair Serum,RN-BEAU-LOR-000014,8900000000142,L'Oréal Paris Repair Hair Serum supplied through RetailNova's Beauty & Personal Care product portfolio.,612.29,480.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
15,4,26,3,Himalaya Herbal Anti-Dandruff Shampoo,RN-BEAU-HIMA-000015,8900000000159,Himalaya Herbal Anti-Dandruff Shampoo supplied through RetailNova's Beauty & Personal Care product portfolio.,282.45,210.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
16,5,32,17,Decathlon Non-Slip Yoga Mat,RN-SPOR-DECA-000016,8900000000166,Decathlon Non-Slip Yoga Mat supplied through RetailNova's Sports & Fitness product portfolio.,928.58,720.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
17,5,33,8,Yonex Lightweight Badminton Racquet,RN-SPOR-YONE-000017,8900000000173,Yonex Lightweight Badminton Racquet supplied through RetailNova's Sports & Fitness product portfolio.,2379.10,1850.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
18,5,18,9,Puma Training Gym Duffel Bag,RN-SPOR-PUMA-000018,8900000000180,Puma Training Gym Duffel Bag supplied through RetailNova's Sports & Fitness product portfolio.,1772.54,1400.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
19,6,35,1,Contemporary Business Analytics Handbook,RN-BOOK-PENG-000019,8900000000197,Contemporary Business Analytics Handbook supplied through RetailNova's Books product portfolio.,602.52,520.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
20,6,35,4,Children's Illustrated Story Collection,RN-BOOK-PENG-000020,8900000000203,Children's Illustrated Story Collection supplied through RetailNova's Books product portfolio.,484.34,390.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
21,7,30,20,Godrej Interio Ergonomic Office Chair,RN-FURN-GODR-000021,8900000000210,Godrej Interio Ergonomic Office Chair supplied through RetailNova's Furniture product portfolio.,10465.20,8500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
22,7,31,6,Nilkamal Three-Door Storage Cabinet,RN-FURN-NILK-000022,8900000000227,Nilkamal Three-Door Storage Cabinet supplied through RetailNova's Furniture product portfolio.,10157.26,7100.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
23,7,30,15,Godrej Interio Compact Study Desk,RN-FURN-GODR-000023,8900000000234,Godrej Interio Compact Study Desk supplied through RetailNova's Furniture product portfolio.,7684.11,6300.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
24,8,34,5,Funskool Family Strategy Board Game,RN-TOYS-FUNS-000024,8900000000241,Funskool Family Strategy Board Game supplied through RetailNova's Toys & Games product portfolio.,993.17,780.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
25,8,34,10,Funskool Educational Building Blocks,RN-TOYS-FUNS-000025,8900000000258,Funskool Educational Building Blocks supplied through RetailNova's Toys & Games product portfolio.,841.46,620.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
26,9,36,14,Nestlé Premium Instant Coffee,RN-GROC-NEST-000026,8900000000265,Nestlé Premium Instant Coffee supplied through RetailNova's Grocery product portfolio.,398.07,340.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
27,9,36,16,Nestlé Whole-Grain Breakfast Cereal,RN-GROC-NEST-000027,8900000000272,Nestlé Whole-Grain Breakfast Cereal supplied through RetailNova's Grocery product portfolio.,316.09,280.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
28,9,37,19,Tata Premium Assam Tea,RN-GROC-TATA-000028,8900000000289,Tata Premium Assam Tea supplied through RetailNova's Grocery product portfolio.,267.70,240.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
29,9,37,7,Tata Iodised Everyday Salt,RN-GROC-TATA-000029,8900000000296,Tata Iodised Everyday Salt supplied through RetailNova's Grocery product portfolio.,30.96,28.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
30,10,5,13,Xiaomi Smart Home Security Camera,RN-SMAR-XIAO-000030,8900000000302,Xiaomi Smart Home Security Camera supplied through RetailNova's Smart Home product portfolio.,2885.18,2250.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
31,10,1,18,Samsung Connected Home Control Hub,RN-SMAR-SAMS-000031,8900000000319,Samsung Connected Home Control Hub supplied through RetailNova's Smart Home product portfolio.,6262.08,4800.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
32,10,14,11,Philips Wi-Fi Smart LED Bulb,RN-SMAR-PHIL-000032,8900000000326,Philips Wi-Fi Smart LED Bulb supplied through RetailNova's Smart Home product portfolio.,969.84,720.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
33,11,2,2,Apple Premium Smartphone 128GB,RN-MOBI-APPL-000033,8900000000333,Apple Premium Smartphone 128GB supplied through RetailNova's Mobiles & Accessories product portfolio.,77537.10,61000.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
34,11,1,12,Samsung 5G Smartphone 128GB,RN-MOBI-SAMS-000034,8900000000340,Samsung 5G Smartphone 128GB supplied through RetailNova's Mobiles & Accessories product portfolio.,31195.85,24500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
35,11,6,3,OnePlus Performance Smartphone 256GB,RN-MOBI-ONEP-000035,8900000000357,OnePlus Performance Smartphone 256GB supplied through RetailNova's Mobiles & Accessories product portfolio.,34692.00,29500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
36,11,7,17,Realme Budget 5G Smartphone 128GB,RN-MOBI-REAL-000036,8900000000364,Realme Budget 5G Smartphone 128GB supplied through RetailNova's Mobiles & Accessories product portfolio.,15240.96,12800.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
37,12,8,8,Dell Business Laptop 15-Inch,RN-COMP-DELL-000037,8900000000371,Dell Business Laptop 15-Inch supplied through RetailNova's Computers & Laptops product portfolio.,49584.75,42500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
38,12,9,9,HP Everyday Productivity Laptop,RN-COMP-HP-000038,8900000000388,HP Everyday Productivity Laptop supplied through RetailNova's Computers & Laptops product portfolio.,44297.40,39800.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
39,12,10,1,Lenovo Professional Think-Series Laptop,RN-COMP-LENO-000039,8900000000395,Lenovo Professional Think-Series Laptop supplied through RetailNova's Computers & Laptops product portfolio.,52470.60,46500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
40,12,11,4,Asus Performance Gaming Laptop,RN-COMP-ASUS-000040,8900000000401,Asus Performance Gaming Laptop supplied through RetailNova's Computers & Laptops product portfolio.,79021.60,68500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
41,12,12,20,Acer Lightweight Student Laptop,RN-COMP-ACER-000041,8900000000418,Acer Lightweight Student Laptop supplied through RetailNova's Computers & Laptops product portfolio.,38729.35,33500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
42,13,16,6,Whirlpool Double-Door Refrigerator,RN-APPL-WHIR-000042,8900000000425,Whirlpool Double-Door Refrigerator supplied through RetailNova's Appliances product portfolio.,29461.25,24500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
43,13,4,15,LG Front-Load Washing Machine,RN-APPL-LG-000043,8900000000432,LG Front-Load Washing Machine supplied through RetailNova's Appliances product portfolio.,31654.95,28500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
44,13,15,5,Panasonic Convection Microwave Oven,RN-APPL-PANA-000044,8900000000449,Panasonic Convection Microwave Oven supplied through RetailNova's Appliances product portfolio.,10637.28,8900.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
45,13,17,10,Bosch Automatic Dishwasher,RN-APPL-BOSC-000045,8900000000456,Bosch Automatic Dishwasher supplied through RetailNova's Appliances product portfolio.,43073.65,36500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
46,14,17,14,Bosch Portable Tyre Inflator,RN-AUTO-BOSC-000046,8900000000463,Bosch Portable Tyre Inflator supplied through RetailNova's Automotive product portfolio.,3177.35,2650.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
47,14,14,16,Philips Compact Car Vacuum Cleaner,RN-AUTO-PHIL-000047,8900000000470,Philips Compact Car Vacuum Cleaner supplied through RetailNova's Automotive product portfolio.,2609.25,2100.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
48,15,9,19,HP Wireless Office Keyboard and Mouse,RN-OFFI-HP-000048,8900000000487,HP Wireless Office Keyboard and Mouse supplied through RetailNova's Office Supplies product portfolio.,1837.88,1450.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
49,15,8,7,Dell Professional Laptop Backpack,RN-OFFI-DELL-000049,8900000000494,Dell Professional Laptop Backpack supplied through RetailNova's Office Supplies product portfolio.,2504.78,1750.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
50,15,29,13,Milton Desktop Organisation Set,RN-OFFI-MILT-000050,8900000000500,Milton Desktop Organisation Set supplied through RetailNova's Office Supplies product portfolio.,768.32,560.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
